Value,Disaggregation combinations using this value,Number of indicators
Abalá,1,1
Abasolo,4,1
Abejones,1,1
Acacoyagua,1,1
Acajete,2,1
Acala,1,1
Acambay de Ruíz Castañeda,1,1
Acanceh,1,1
Acapetahua,1,1
Acaponeta,1,1
Acapulco de Juárez,1,1
Acateno,1,1
Acatepec,1,1
Acatic,1,1
Acatlán de Juárez,1,1
Acatlán de Pérez Figueroa,1,1
Acatlán,3,1
Acatzingo,1,1
Acaxochitlán,1,1
Acayucan,1,1
Acolman,1,1
Aconchi,1,1
Acteopan,1,1
Actopan,2,1
Acuamanala de Miguel Hidalgo,1,1
Acuitzio,1,1
Acula,1,1
Aculco,1,1
Acultzingo,1,1
Acuña,1,1
Acámbaro,1,1
Agua Blanca de Iturbide,1,1
Agua Dulce,1,1
Agua Prieta,1,1
Agualeguas,1,1
Aguascalientes,1,1
Aguililla,1,1
Ahome,1,1
Ahuacatlán,2,1
Ahuacuotzingo,1,1
Ahualulco de Mercado,1,1
Ahualulco,1,1
Ahuatlán,1,1
Ahuazotepec,1,1
Ahuehuetitla,1,1
Ahumada,1,1
Ajacuba,1,1
Ajalpan,1,1
Ajuchitlán del Progreso,1,1
Akil,1,1
Alamos,1,1
Alaquines,1,1
Albino Zertuche,1,1
Alcozauca de Guerrero,1,1
Aldama,3,1
Alfajayucan,1,1
Aljojuca,1,1
Allende,3,1
Almoloya de Alquisiras,1,1
Almoloya de Juárez,1,1
Almoloya del Río,1,1
Almoloya,1,1
Alpatláhuac,1,1
Alpoyeca,1,1
Altamira,1,1
Altamirano,1,1
Altar,1,1
Altepexi,1,1
Alto Lucero de Gutiérrez Barrios,1,1
Altotonga,1,1
Alvarado,1,1
Amacueca,1,1
Amacuzac,1,1
Amanalco,1,1
Amatenango de la Frontera,1,1
Amatenango del Valle,1,1
Amatepec,1,1
Amatitlán,1,1
Amatitán,1,1
Amatlán de Cañas,1,1
Amatlán de los Reyes,1,1
Amatán,1,1
Amaxac de Guerrero,1,1
Amealco de Bonfil,1,1
Ameca,1,1
Amecameca,1,1
Amixtlán,1,1
Amozoc,1,1
Angamacutiro,1,1
Angangueo,1,1
Angel Albino Corzo,1,1
Angel R. Cabada,1,1
Angostura,1,1
Antiguo Morelos,1,1
Anáhuac,1,1
Apan,1,1
Apaseo el Alto,1,1
Apaseo el Grande,1,1
Apatzingán,1,1
Apaxco,1,1
Apaxtla,1,1
Apazapan,1,1
Apetatitlán de Antonio Carvajal,1,1
Apizaco,1,1
Apodaca,1,1
Aporo,1,1
Apozol,1,1
Apulco,1,1
Aquila,2,1
Aquiles Serdán,1,1
Aquismón,1,1
Aquixtla,1,1
Aramberri,1,1
Arandas,1,1
Arcelia,1,1
Ario,1,1
Arivechi,1,1
Arizpe,1,1
Armadillo de los Infante,1,1
Armería,1,1
Arriaga,1,1
Arroyo Seco,1,1
Arteaga,2,1
Ascensión,1,1
Asientos,1,1
Astacinga,1,1
Asunción Cacalotepec,1,1
Asunción Cuyotepeji,1,1
Asunción Ixtaltepec,1,1
Asunción Nochixtlán,1,1
Asunción Ocotlán,1,1
Asunción Tlacolulita,1,1
Atarjea,1,1
Atemajac de Brizuela,1,1
Atempan,1,1
Atenango del Río,1,1
Atenco,1,1
Atengo,1,1
Atenguillo,1,1
Atexcal,1,1
Atil,1,1
Atitalaquia,1,1
Atizapán de Zaragoza,1,1
Atizapán,1,1
Atlacomulco,1,1
Atlahuilco,1,1
Atlamajalcingo del Monte,1,1
Atlangatepec,1,1
Atlapexco,1,1
Atlatlahucan,1,1
Atlautla,1,1
Atlequizayan,1,1
Atlixco,1,1
Atlixtac,1,1
Atltzayanca,1,1
Atolinga,1,1
Atotonilco de Tula,1,1
Atotonilco el Alto,1,1
Atotonilco el Grande,1,1
Atoyac de Álvarez,1,1
Atoyac,2,1
Atoyatempan,1,1
Atzacan,1,1
Atzala,1,1
Atzalan,1,1
Atzitzihuacán,1,1
Atzitzintla,1,1
Autlán de Navarro,1,1
Axapusco,1,1
Axochiapan,1,1
Axtla de Terrazas,1,1
Axutla,1,1
Ayahualulco,1,1
Ayala,1,1
Ayapango,1,1
Ayoquezco de Aldama,1,1
Ayotlán,1,1
Ayotoxco de Guerrero,1,1
Ayotzintepec,1,1
Ayutla de los Libres,1,1
Ayutla,1,1
Azcapotzalco,1,1
Azoyú,1,1
Baca,1,1
Bacadéhuachi,1,1
Bacalar,1,1
Bacanora,1,1
Bacerac,1,1
Bachíniva,1,1
Bacoachi,1,1
Badiraguato,1,1
Bahía de Banderas,1,1
Balancán,1,1
Balleza,1,1
Banderilla,1,1
Banámichi,1,1
Batopilas,1,1
Bavispe,1,1
Baviácora,1,1
Bejucal de Ocampo,1,1
Bella Vista,1,1
Benemérito de las Américas,1,1
Benito Juárez,7,1
Benjamín Hill,1,1
Berriozábal,1,1
Boca del Río,1,1
Bochil,1,1
Bocoyna,1,1
Bokobá,1,1
Bolaños,1,1
